200501BS70007,-0.217769,51.523585,3,4,1,1/2/2005,3,13:02,0,6,30,1,1,1,1,23,9,1,46,9
200501BS70007,-0.217769,51.523585,3,4,1,1/2/2005,3,13:02,0,6,30,1,1,1,1,23,9,1,43,-1
200501BS70007,-0.217769,51.523585,3,4,1,1/2/2005,3,13:02,0,6,30,1,1,1,1,23,9,1,43,-1
200501BS70007,-0.217769,51.523585,3,4,1,1/2/2005,3,13:02,0,6,30,1,1,1,1,23,9,2,29,6
200501BS70007,-0.217769,51.523585,3,4,1,1/2/2005,3,13:02,0,6,30,1,1,1,1,23,19,3,-1,-1
200501BS70007,-0.217769,51.523585,3,4,1,1/2/2005,3,13:02,0,6,30,1,1,1,1,23,19,3,-1,-1
200501BS70008,-0.217674,51.514951,3,2,2,3/2/2005,5,22:55,0,6,30,1,1,1,1,29,9,1,29,9
200501BS70008,-0.217674,51.514951,3,2,2,3/2/2005,5,22:55,0,6,30,1,1,1,1,29,9,1,-1,18
200501BS70008,-0.217674,51.514951,3,2,2,3/2/2005,5,22:55,0,6,30,1,1,1,1,29,9,1,-1,18
200501BS70008,-0.217674,51.514951,3,2,2,3/2/2005,5,22:55,0,6,30,1,1,1,1,26,9,1,29,9
200501BS70008,-0.217674,51.514951,3,2,2,3/2/2005,5,22:55,0,6,30,1,1,1,1,26,9,1,-1,18
200501BS70008,-0.217674,51.514951,3,2,2,3/2/2005,5,22:55,0,6,30,1,1,1,1,26,9,1,-1,18
200501BS70009,-0.189301,51.478096,3,2,1,3/2/2005,5,17:30,308,6,30,1,1,1,1,37,1,1,37,-1
200501BS70010,-0.173312,51.481804,3,2,1,6/2/2005,1,15:00,3220,6,30,1,1,1,1,50,1,1,50,-1
200501BS70010,-0.173312,51.481804,3,2,1,6/2/2005,1,15:00,3220,6,30,1,1,1,1,50,9,3,-1,8
200501BS70012,-0.193882,51.500648,3,2,1,3/2/2005,5,12:41,315,6,30,1,1,1,1,28,9,1,59,-1
200501BS70019,-0.181542,51.4849,3,2,1,7/2/2005,2,11:30,0,6,30,1,1,1,2,26,9,2,26,7
200501BS70019,-0.181542,51.4849,3,2,1,7/2/2005,2,11:30,0,6,30,1,1,1,2,26,9,1,70,18
200501BS70020,-0.171599,51.495806,3,2,1,10/2/2005,5,18:10,4,6,30,2,2,1,2,65,1,2,65,-1
200501BS70023,-0.186415,51.485515,3,2,2,13/02/2005,1,20:05,3220,6,30,1,1,1,1,19,9,1,22,-1
200501BS70023,-0.186415,51.485515,3,2,2,13/02/2005,1,20:05,3220,6,30,1,1,1,1,22,9,1,22,-1
200501BS70025,-0.16813,51.492515,3,2,1,1/2/2005,3,16:44,0,6,30,2,2,1,2,52,9,2,54,10
200501BS70025,-0.16813,51.492515,3,2,1,1/2/2005,3,16:44,0,6,30,2,2,1,2,52,9,2,35,8
200501BS70027,-0.197423,51.509515,3,2,1,17/02/2005,5,18:00,4206,6,30,2,2,1,1,-1,1,1,-1,-1
200501BS70027,-0.197423,51.509515,3,2,1,17/02/2005,5,18:00,4206,6,30,2,2,1,1,-1,19,1,21,1
200501BS70029,-0.212653,51.521709,2,1,1,15/02/2005,3,18:15,450,6,30,1,1,1,1,-1,5,1,25,7
